GWAS file: /Users/krsc0813/CLionProjects/gwas_local/gwas_files/continuous-22409-both_sexes-irnt.tsv
genomic_index_read,5512μs
genomic_index_query,6342611μs
block_0_decompression,7840μs
block_1_decompression,8169μs
block_2_decompression,8083μs
block_3_decompression,8371μs
block_4_decompression,8602μs
block_5_decompression,8030μs
block_6_decompression,8397μs
block_7_decompression,8275μs
block_8_decompression,8425μs
block_9_decompression,8626μs
block_10_decompression,8686μs
GWAS file: /Users/krsc0813/CLionProjects/gwas_local/gwas_files/continuous-103220-both_sexes.tsv
genomic_index_read,6939μs
genomic_index_query,6623758μs
block_0_decompression,6687μs
block_1_decompression,6384μs
block_2_decompression,6665μs
block_3_decompression,6743μs
block_4_decompression,6272μs
block_5_decompression,6479μs
block_6_decompression,6056μs
block_7_decompression,5648μs
block_8_decompression,6403μs
block_9_decompression,6849μs
block_10_decompression,6985μs
block_11_decompression,6895μs
block_12_decompression,6564μs
block_13_decompression,6150μs
block_14_decompression,16204μs
block_15_decompression,6229μs
block_16_decompression,5802μs
block_17_decompression,5524μs
block_18_decompression,6346μs
block_19_decompression,6934μs
block_20_decompression,6795μs
block_21_decompression,5453μs
block_22_decompression,5803μs
block_23_decompression,6331μs
block_24_decompression,10701μs
block_25_decompression,6612μs
block_26_decompression,5837μs
block_27_decompression,6073μs
block_28_decompression,5952μs
block_29_decompression,6042μs
block_30_decompression,6343μs
block_31_decompression,6033μs
block_32_decompression,5665μs
block_33_decompression,6038μs
block_34_decompression,6159μs
block_35_decompression,6149μs
block_36_decompression,6499μs
block_37_decompression,6198μs
block_38_decompression,6559μs
block_39_decompression,6392μs
block_40_decompression,6314μs
block_41_decompression,6015μs
block_42_decompression,5937μs
block_43_decompression,5730μs
block_44_decompression,6314μs
block_45_decompression,5997μs
block_46_decompression,6429μs
block_47_decompression,6692μs
block_48_decompression,6463μs
block_49_decompression,6310μs
block_50_decompression,6492μs
block_51_decompression,5973μs
block_52_decompression,6303μs
block_53_decompression,5996μs
block_54_decompression,6117μs
block_55_decompression,5649μs
block_56_decompression,6198μs
block_57_decompression,6563μs
block_58_decompression,5958μs
block_59_decompression,6028μs
block_60_decompression,6012μs
block_61_decompression,6277μs
block_62_decompression,5982μs
block_63_decompression,6511μs
